# 2025/08/31 23:14:35
#
# ---------------------------------------------------------------------------
#    CDFS017345 - stellar continuum spectrum - ficus.py
# ---------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# ssp_models  --> sb99
# neb_mode    --> off
# Zarray      --> ['0001', '0002', '0008', '0014']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# plot_mode   --> yes
# 
# wave(A)        Flux.OBS         Flux.ERR         Flux.SPEC  Flux.SPECerr   
   +1.23494e+03     +1.08879e+00     +1.94274e-01     +5.81675e-19     +3.01600e-20
   +1.23549e+03     +8.76242e-01     +1.95079e-01     +5.75695e-19     +2.89774e-20
   +1.23605e+03     +1.02090e+00     +1.96377e-01     +5.73387e-19     +2.77398e-20
   +1.23660e+03     +9.60889e-01     +1.96333e-01     +5.75327e-19     +2.65015e-20
   +1.23716e+03     +6.84051e-01     +1.96354e-01     +5.82684e-19     +2.52443e-20
   +1.23771e+03     +8.91771e-01     +1.97542e-01     +5.97011e-19     +2.39453e-20
   +1.23827e+03     +7.25693e-01     +1.98357e-01     +6.19185e-19     +2.27361e-20
   +1.23882e+03     +9.94034e-01     +2.00094e-01     +6.47423e-19     +2.16343e-20
   +1.23937e+03     +6.17010e-01     +2.00468e-01     +6.73505e-19     +2.03106e-20
   +1.23993e+03     +9.60891e-01     +2.01821e-01     +6.90579e-19     +1.85368e-20
   +1.24048e+03     +9.73652e-01     +2.02956e-01     +7.02134e-19     +1.67138e-20
   +1.24104e+03     +1.18354e+00     +2.04085e-01     +7.19422e-19     +1.52447e-20
   +1.24159e+03     +9.18301e-01     +2.06174e-01     +7.55387e-19     +1.42162e-20
   +1.24215e+03     +9.47873e-01     +2.07440e-01     +8.11054e-19     +1.47209e-20
   +1.24270e+03     +1.03031e+00     +2.07864e-01     +8.75330e-19     +1.75984e-20
   +1.24326e+03     +1.09607e+00     +2.08031e-01     +9.24672e-19     +2.11949e-20
   +1.24381e+03     +8.96215e-01     +2.06521e-01     +9.42915e-19     +2.33250e-20
   +1.24436e+03     +1.09104e+00     +2.05114e-01     +9.34190e-19     +2.34908e-20
   +1.24492e+03     +1.24667e+00     +2.03748e-01     +9.11992e-19     +2.23130e-20
   +1.24547e+03     +1.14312e+00     +2.02017e-01     +8.86111e-19     +2.04577e-20
   +1.24603e+03     +1.30361e+00     +2.01057e-01     +8.59777e-19     +1.85249e-20
   +1.24658e+03     +1.23397e+00     +1.98561e-01     +8.30410e-19     +1.68398e-20
   +1.24714e+03     +1.23153e+00     +1.96539e-01     +8.01876e-19     +1.57801e-20
   +1.24769e+03     +1.18732e+00     +1.96123e-01     +7.84834e-19     +1.44371e-20
   +1.24824e+03     +1.15518e+00     +1.95457e-01     +7.84491e-19     +1.22682e-20
   +1.24880e+03     +1.25027e+00     +1.94772e-01     +7.93072e-19     +1.06242e-20
   +1.24935e+03     +1.43589e+00     +1.93711e-01     +7.96977e-19     +1.02417e-20
   +1.24991e+03     +1.24747e+00     +1.91543e-01     +7.92384e-19     +1.01913e-20
   +1.25046e+03     +1.02263e+00     +1.90393e-01     +7.85396e-19     +1.01287e-20
   +1.25102e+03     +8.89670e-01     +1.89259e-01     +7.82773e-19     +9.95372e-21
   +1.25157e+03     +5.03609e-01     +1.87120e-01     +7.83912e-19     +9.74888e-21
   +1.25213e+03     +5.63675e-01     +1.86473e-01     +7.83787e-19     +9.68733e-21
   +1.25268e+03     +4.10200e-01     +1.84627e-01     +7.80316e-19     +9.77807e-21
   +1.25323e+03     +6.48589e-01     +1.83661e-01     +7.75422e-19     +9.86413e-21
   +1.25379e+03     +6.59109e-01     +1.81821e-01     +7.72973e-19     +9.70754e-21
   +1.25434e+03     +2.86995e-01     +1.81056e-01     +7.73462e-19     +9.38449e-21
   +1.25490e+03     +4.97801e-01     +1.79745e-01     +7.75149e-19     +9.20589e-21
   +1.25545e+03     +1.07472e+00     +1.78904e-01     +7.76524e-19     +9.13039e-21
   +1.25601e+03     +9.96496e-01     +1.79690e-01     +7.77130e-19     +9.04273e-21
   +1.25656e+03     +1.26114e+00     +1.79512e-01     +7.76595e-19     +9.02146e-21
   +1.25711e+03     +9.21280e-01     +1.80049e-01     +7.74910e-19     +9.14771e-21
   +1.25767e+03     +1.00701e+00     +1.80887e-01     +7.72238e-19     +9.50118e-21
   +1.25822e+03     +7.92705e-01     +1.81569e-01     +7.69216e-19     +1.00456e-20
   +1.25878e+03     +6.72681e-01     +1.82744e-01     +7.68232e-19     +1.01208e-20
   +1.25933e+03     +5.30979e-01     +1.83547e-01     +7.70603e-19     +9.62451e-21
   +1.25989e+03     +6.44542e-01     +1.85439e-01     +7.74694e-19     +9.39301e-21
   +1.26044e+03     +3.92579e-01     +1.86711e-01     +7.78169e-19     +9.52921e-21
   +1.26100e+03     +8.37773e-01     +1.88799e-01     +7.80160e-19     +9.60324e-21
   +1.26155e+03     +1.10300e+00     +1.91056e-01     +7.81431e-19     +9.56165e-21
   +1.26210e+03     +1.05619e+00     +1.93540e-01     +7.82674e-19     +9.50847e-21
   +1.26266e+03     +1.39699e+00     +1.96247e-01     +7.83402e-19     +9.49813e-21
   +1.26321e+03     +1.19168e+00     +2.02302e-01     +7.82482e-19     +9.48736e-21
   +1.26377e+03     +8.25207e-01     +2.07317e-01     +7.79322e-19     +9.42868e-21
   +1.26432e+03     +1.17918e+00     +2.11281e-01     +7.74231e-19     +9.31471e-21
   +1.26488e+03     +1.12790e+00     +2.14829e-01     +7.67972e-19     +9.26037e-21
   +1.26543e+03     +1.47088e+00     +2.19398e-01     +7.61913e-19     +9.30842e-21
   +1.26598e+03     +1.27058e+00     +2.27969e-01     +7.58584e-19     +9.32271e-21
   +1.26654e+03     +8.93515e-01     +2.38740e-01     +7.60062e-19     +9.15995e-21
   +1.26709e+03     +8.38302e-01     +2.48172e-01     +7.64908e-19     +8.90606e-21
   +1.26765e+03     +9.72587e-01     +2.54131e-01     +7.69590e-19     +8.72669e-21
   +1.26820e+03     +1.00446e+00     +2.56702e-01     +7.71259e-19     +8.68254e-21
   +1.26876e+03     +1.02118e+00     +2.68258e-01     +7.70001e-19     +8.77792e-21
   +1.26931e+03     +1.15596e+00     +2.75201e-01     +7.66985e-19     +8.87528e-21
   +1.26987e+03     +8.53940e-01     +2.89316e-01     +7.63696e-19     +8.94467e-21
   +1.27042e+03     +9.64110e-01     +3.11686e-01     +7.61943e-19     +9.12099e-21
   +1.27097e+03     +8.19991e-01     +3.37342e-01     +7.63134e-19     +9.33902e-21
   +1.27153e+03     +7.16808e-01     +3.49512e-01     +7.66482e-19     +9.38616e-21
   +1.27208e+03     +1.05452e+00     +3.37470e-01     +7.69186e-19     +9.15855e-21
   +1.27264e+03     +3.54216e-01     +3.49335e-01     +7.69888e-19     +8.77579e-21
   +1.27319e+03     +6.22354e-01     +3.68113e-01     +7.69447e-19     +8.52184e-21
   +1.27375e+03     +8.06027e-01     +3.67232e-01     +7.70116e-19     +8.45449e-21
   +1.27430e+03     +3.58797e-01     +3.55068e-01     +7.72378e-19     +8.61801e-21
   +1.27485e+03     +1.21916e+00     +3.63194e-01     +7.74232e-19     +8.99847e-21
   +1.27541e+03     +1.08095e+00     +3.42478e-01     +7.73077e-19     +9.34791e-21
   +1.27596e+03     +7.24285e-01     +3.10067e-01     +7.68617e-19     +9.62820e-21
   +1.27652e+03     +9.62303e-01     +2.83479e-01     +7.63262e-19     +9.85291e-21
   +1.27707e+03     +9.12887e-01     +2.66877e-01     +7.60540e-19     +9.83531e-21
   +1.27763e+03     +1.02614e+00     +2.58500e-01     +7.60707e-19     +9.42232e-21
   +1.27818e+03     +9.27649e-01     +2.48224e-01     +7.61976e-19     +8.84209e-21
   +1.27874e+03     +6.70810e-01     +2.42003e-01     +7.63864e-19     +8.51709e-21
   +1.27929e+03     +1.18725e+00     +2.48478e-01     +7.67056e-19     +8.29625e-21
   +1.27984e+03     +1.00194e+00     +2.37114e-01     +7.70495e-19     +8.26991e-21
   +1.28040e+03     +1.02745e+00     +2.10812e-01     +7.71550e-19     +8.56875e-21
   +1.28095e+03     +9.76469e-01     +1.99339e-01     +7.70004e-19     +8.83148e-21
   +1.28151e+03     +9.68832e-01     +1.84756e-01     +7.67484e-19     +8.90054e-21
   +1.28206e+03     +8.54276e-01     +1.74958e-01     +7.65732e-19     +8.78941e-21
   +1.28262e+03     +6.77767e-01     +1.74884e-01     +7.63971e-19     +8.51250e-21
   +1.28317e+03     +4.06364e-01     +1.78992e-01     +7.60290e-19     +8.31675e-21
   +1.28372e+03     +3.24741e-01     +1.80677e-01     +7.55501e-19     +8.52509e-21
   +1.28428e+03     +6.13360e-01     +1.80356e-01     +7.52452e-19     +8.71232e-21
   +1.28483e+03     +1.02029e+00     +1.81679e-01     +7.52521e-19     +8.65046e-21
   +1.28539e+03     +8.01953e-01     +1.82471e-01     +7.53821e-19     +8.71096e-21
   +1.28594e+03     +8.72835e-01     +1.80300e-01     +7.55175e-19     +8.71735e-21
   +1.28650e+03     +1.14814e+00     +1.79642e-01     +7.56666e-19     +8.42502e-21
   +1.28705e+03     +9.84318e-01     +1.85450e-01     +7.57460e-19     +8.09351e-21
   +1.28761e+03     +1.07842e+00     +1.86422e-01     +7.57031e-19     +7.89503e-21
   +1.28816e+03     +1.11013e+00     +1.84916e-01     +7.56314e-19     +7.83653e-21
   +1.28871e+03     +9.59255e-01     +1.83240e-01     +7.56531e-19     +7.83696e-21
   +1.28927e+03     +1.11166e+00     +1.80715e-01     +7.57176e-19     +7.82665e-21
   +1.28982e+03     +1.14592e+00     +1.76571e-01     +7.56605e-19     +7.71818e-21
   +1.29038e+03     +1.09222e+00     +1.75871e-01     +7.53750e-19     +7.70135e-21
   +1.29093e+03     +9.51081e-01     +1.76567e-01     +7.49819e-19     +8.18215e-21
   +1.29149e+03     +1.15195e+00     +1.79205e-01     +7.47565e-19     +8.52924e-21
   +1.29204e+03     +1.14888e+00     +1.80166e-01     +7.47513e-19     +8.36554e-21
   +1.29259e+03     +1.20831e+00     +1.78679e-01     +7.47124e-19     +8.28055e-21
   +1.29315e+03     +9.91851e-01     +1.76159e-01     +7.42928e-19     +8.38396e-21
   +1.29370e+03     +1.15451e+00     +1.73605e-01     +7.34990e-19     +8.66057e-21
   +1.29426e+03     +1.21158e+00     +1.69884e-01     +7.26249e-19     +9.12090e-21
   +1.29481e+03     +1.21379e+00     +1.68808e-01     +7.21043e-19     +9.24335e-21
   +1.29537e+03     +1.00418e+00     +1.69638e-01     +7.18996e-19     +9.04438e-21
   +1.29592e+03     +7.50132e-01     +1.69700e-01     +7.18242e-19     +8.84664e-21
   +1.29648e+03     +9.16866e-01     +1.71058e-01     +7.19933e-19     +8.47327e-21
   +1.29703e+03     +9.24348e-01     +1.73166e-01     +7.24410e-19     +7.90653e-21
   +1.29758e+03     +9.11956e-01     +1.71604e-01     +7.27952e-19     +7.59454e-21
   +1.29814e+03     +8.03851e-01     +1.69287e-01     +7.25887e-19     +7.74887e-21
   +1.29869e+03     +9.83565e-01     +1.67442e-01     +7.21769e-19     +8.17977e-21
   +1.29925e+03     +9.52793e-01     +1.63945e-01     +7.21410e-19     +8.02623e-21
   +1.29980e+03     +9.28968e-01     +1.61371e-01     +7.25348e-19     +7.37552e-21
   +1.30036e+03     +8.72210e-01     +1.59928e-01     +7.29334e-19     +7.26541e-21
   +1.30091e+03     +8.72517e-01     +1.58598e-01     +7.32143e-19     +7.52122e-21
   +1.30146e+03     +8.19204e-01     +1.57688e-01     +7.34642e-19     +7.58005e-21
   +1.30202e+03     +8.15417e-01     +1.57043e-01     +7.34757e-19     +7.38863e-21
