# 2025/08/31 23:14:35
#
# ---------------------------------------------------------------------------
#    CDFS017345 - stellar continuum spectrum - ficus.py
# ---------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# ssp_models  --> sb99
# neb_mode    --> off
# Zarray      --> ['0001', '0002', '0008', '0014']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# plot_mode   --> yes
# 
# wave(A)        Flux.OBS         Flux.ERR         Flux.SPEC  Flux.SPECerr   
   +1.35080e+03     +1.06587e+00     +1.27363e-01     +7.01130e-19     +7.64548e-21
   +1.35136e+03     +8.57156e-01     +1.26474e-01     +6.98066e-19     +7.63355e-21
   +1.35191e+03     +1.06288e+00     +1.26629e-01     +6.99287e-19     +7.38871e-21
   +1.35247e+03     +1.05721e+00     +1.29986e-01     +7.03659e-19     +7.05012e-21
   +1.35302e+03     +1.10444e+00     +1.37176e-01     +7.07849e-19     +6.77022e-21
   +1.35358e+03     +1.11593e+00     +1.40350e-01     +7.09999e-19     +6.49752e-21
   +1.35413e+03     +9.54765e-01     +1.41777e-01     +7.09430e-19     +6.11110e-21
   +1.35468e+03     +8.81578e-01     +1.41390e-01     +7.06683e-19     +5.67409e-21
   +1.35524e+03     +8.67922e-01     +1.33311e-01     +7.01999e-19     +5.36104e-21
   +1.35579e+03     +1.11980e+00     +1.27241e-01     +6.96703e-19     +5.31447e-21
   +1.35635e+03     +8.95004e-01     +1.24473e-01     +6.91983e-19     +5.36896e-21
   +1.35690e+03     +1.10156e+00     +1.22937e-01     +6.88668e-19     +5.38781e-21
   +1.35746e+03     +1.07814e+00     +1.28827e-01     +6.87037e-19     +5.50199e-21
   +1.35801e+03     +1.27194e+00     +1.35738e-01     +6.87186e-19     +5.77568e-21
   +1.35857e+03     +1.15663e+00     +1.36184e-01     +6.88382e-19     +6.08784e-21
   +1.35912e+03     +1.13852e+00     +1.38447e-01     +6.90331e-19     +6.38392e-21
   +1.35967e+03     +9.48275e-01     +1.38464e-01     +6.91604e-19     +6.82145e-21
   +1.36023e+03     +1.32362e+00     +1.31897e-01     +6.90094e-19     +7.46246e-21
   +1.36078e+03     +9.10779e-01     +1.28232e-01     +6.84417e-19     +8.30616e-21
   +1.36134e+03     +1.02406e+00     +1.28215e-01     +6.76627e-19     +9.31565e-21
   +1.36189e+03     +9.70476e-01     +1.26348e-01     +6.68802e-19     +1.03916e-20
   +1.36245e+03     +7.81643e-01     +1.25619e-01     +6.61937e-19     +1.13970e-20
   +1.36300e+03     +9.17826e-01     +1.25382e-01     +6.56422e-19     +1.23244e-20
   +1.36355e+03     +1.00541e+00     +1.27207e-01     +6.53412e-19     +1.30614e-20
   +1.36411e+03     +1.17978e+00     +1.32892e-01     +6.51710e-19     +1.35171e-20
   +1.36466e+03     +1.00679e+00     +1.34105e-01     +6.48556e-19     +1.38011e-20
   +1.36522e+03     +9.33794e-01     +1.35872e-01     +6.44352e-19     +1.42447e-20
   +1.36577e+03     +9.25077e-01     +1.39510e-01     +6.42777e-19     +1.48226e-20
   +1.36633e+03     +1.03576e+00     +1.58004e-01     +6.43935e-19     +1.53440e-20
   +1.36688e+03     +9.94591e-01     +2.08828e-01     +6.44959e-19     +1.55305e-20
   +1.36744e+03     +7.64198e-01     +2.25746e-01     +6.43000e-19     +1.53360e-20
   +1.36799e+03     +1.19810e+00     +2.28622e-01     +6.38302e-19     +1.47694e-20
   +1.36854e+03     +9.26069e-01     +2.26246e-01     +6.33626e-19     +1.37429e-20
   +1.36910e+03     +6.04006e-01     +1.97709e-01     +6.31835e-19     +1.22842e-20
   +1.36965e+03     +8.36138e-01     +1.46302e-01     +6.35647e-19     +1.05303e-20
   +1.37021e+03     +9.96158e-01     +1.35267e-01     +6.44786e-19     +8.93893e-21
   +1.37076e+03     +1.02221e+00     +1.27186e-01     +6.59564e-19     +7.75454e-21
   +1.37132e+03     +8.46687e-01     +1.25087e-01     +6.76741e-19     +7.43426e-21
   +1.37187e+03     +8.13008e-01     +1.26423e-01     +6.91037e-19     +7.75989e-21
   +1.37242e+03     +9.99718e-01     +1.27553e-01     +6.96027e-19     +7.92135e-21
   +1.37298e+03     +1.29776e+00     +1.31649e-01     +6.89996e-19     +7.42293e-21
   +1.37353e+03     +7.71178e-01     +1.34331e-01     +6.78102e-19     +6.55663e-21
   +1.37409e+03     +8.12793e-01     +1.32807e-01     +6.69070e-19     +5.93485e-21
   +1.37464e+03     +9.53054e-01     +1.31464e-01     +6.69020e-19     +5.72794e-21
   +1.37520e+03     +9.73813e-01     +1.29187e-01     +6.73904e-19     +5.71095e-21
   +1.37575e+03     +9.14839e-01     +1.23020e-01     +6.78516e-19     +5.64304e-21
   +1.37631e+03     +1.10425e+00     +1.19307e-01     +6.79959e-19     +5.40233e-21
   +1.37686e+03     +1.09513e+00     +1.20367e-01     +6.78788e-19     +5.15918e-21
   +1.37741e+03     +8.86667e-01     +1.21943e-01     +6.76674e-19     +4.98573e-21
   +1.37797e+03     +9.91894e-01     +1.22541e-01     +6.74461e-19     +4.82101e-21
   +1.37852e+03     +1.13180e+00     +1.24363e-01     +6.72488e-19     +4.91813e-21
   +1.37908e+03     +8.78172e-01     +1.28567e-01     +6.70700e-19     +5.31558e-21
   +1.37963e+03     +9.44618e-01     +1.31084e-01     +6.69448e-19     +5.46417e-21
   +1.38019e+03     +1.08326e+00     +1.39162e-01     +6.69244e-19     +5.16914e-21
   +1.38074e+03     +9.93507e-01     +1.60606e-01     +6.70797e-19     +4.76335e-21
   +1.38129e+03     +1.10512e+00     +1.63656e-01     +6.73696e-19     +4.63098e-21
   +1.38185e+03     +8.43518e-01     +1.59600e-01     +6.77295e-19     +4.70788e-21
   +1.38240e+03     +1.27339e+00     +1.55447e-01     +6.79980e-19     +4.94292e-21
   +1.38296e+03     +1.15390e+00     +1.39187e-01     +6.80318e-19     +5.11486e-21
   +1.38351e+03     +1.11498e+00     +1.20586e-01     +6.78358e-19     +5.04151e-21
   +1.38407e+03     +1.06881e+00     +1.19095e-01     +6.75867e-19     +4.83864e-21
   +1.38462e+03     +1.09966e+00     +1.19500e-01     +6.74287e-19     +4.61420e-21
   +1.38518e+03     +9.48092e-01     +1.20553e-01     +6.72791e-19     +4.59765e-21
   +1.38573e+03     +1.03261e+00     +1.22713e-01     +6.70165e-19     +4.97634e-21
   +1.38628e+03     +8.48947e-01     +1.21766e-01     +6.66925e-19     +5.31377e-21
   +1.38684e+03     +9.54424e-01     +1.19903e-01     +6.64203e-19     +5.12296e-21
   +1.38739e+03     +9.40645e-01     +1.18833e-01     +6.62884e-19     +4.75696e-21
   +1.38795e+03     +1.09778e+00     +1.16275e-01     +6.63611e-19     +4.58402e-21
   +1.38850e+03     +1.26720e+00     +1.14515e-01     +6.65813e-19     +4.69019e-21
   +1.38906e+03     +1.10311e+00     +1.14238e-01     +6.68027e-19     +4.97104e-21
   +1.38961e+03     +1.16349e+00     +1.14255e-01     +6.68593e-19     +5.33119e-21
   +1.39016e+03     +9.33329e-01     +1.13626e-01     +6.67354e-19     +5.73503e-21
   +1.39072e+03     +8.09895e-01     +1.13511e-01     +6.65196e-19     +6.10725e-21
   +1.39127e+03     +6.15567e-01     +1.13668e-01     +6.62379e-19     +6.27043e-21
   +1.39183e+03     +7.02301e-01     +1.13546e-01     +6.56589e-19     +6.05441e-21
   +1.39238e+03     +5.22771e-01     +1.14263e-01     +6.45925e-19     +5.68366e-21
   +1.39294e+03     +4.01402e-01     +1.15592e-01     +6.30810e-19     +5.37560e-21
   +1.39349e+03     +6.07404e-01     +1.15631e-01     +6.18644e-19     +5.16667e-21
   +1.39404e+03     +6.05438e-01     +1.15235e-01     +6.17813e-19     +5.01131e-21
   +1.39460e+03     +7.68992e-01     +1.14406e-01     +6.26591e-19     +5.08380e-21
   +1.39515e+03     +9.92158e-01     +1.13037e-01     +6.38218e-19     +5.40555e-21
   +1.39571e+03     +8.53085e-01     +1.12235e-01     +6.45018e-19     +5.56021e-21
   +1.39626e+03     +1.05456e+00     +1.11810e-01     +6.45133e-19     +5.44695e-21
   +1.39682e+03     +7.30649e-01     +1.11499e-01     +6.40836e-19     +5.35104e-21
   +1.39737e+03     +8.61378e-01     +1.10802e-01     +6.35261e-19     +5.26911e-21
   +1.39793e+03     +9.03131e-01     +1.10530e-01     +6.32554e-19     +5.14610e-21
   +1.39848e+03     +8.47077e-01     +1.10162e-01     +6.34386e-19     +4.99850e-21
   +1.39903e+03     +8.37522e-01     +1.10479e-01     +6.38924e-19     +4.86618e-21
   +1.39959e+03     +8.07681e-01     +1.10793e-01     +6.42314e-19     +4.82489e-21
   +1.40014e+03     +7.02983e-01     +1.11227e-01     +6.43059e-19     +4.81316e-21
   +1.40070e+03     +5.98598e-01     +1.11662e-01     +6.42713e-19     +4.73798e-21
   +1.40125e+03     +6.39857e-01     +1.11999e-01     +6.40137e-19     +4.59079e-21
   +1.40181e+03     +5.60845e-01     +1.13178e-01     +6.33150e-19     +4.46413e-21
   +1.40236e+03     +4.71523e-01     +1.16289e-01     +6.22965e-19     +4.62926e-21
   +1.40291e+03     +6.06482e-01     +1.20445e-01     +6.17631e-19     +5.03133e-21
   +1.40347e+03     +8.52534e-01     +1.22845e-01     +6.24420e-19     +4.78976e-21
   +1.40402e+03     +8.65518e-01     +1.25987e-01     +6.38236e-19     +4.63395e-21
   +1.40458e+03     +9.52377e-01     +1.24994e-01     +6.49705e-19     +5.18054e-21
   +1.40513e+03     +9.88931e-01     +1.21487e-01     +6.52714e-19     +5.33333e-21
   +1.40569e+03     +8.40295e-01     +1.18615e-01     +6.45927e-19     +4.79835e-21
   +1.40624e+03     +9.32550e-01     +1.15293e-01     +6.33616e-19     +4.44374e-21
   +1.40680e+03     +9.08819e-01     +1.11890e-01     +6.22181e-19     +4.60844e-21
   +1.40735e+03     +9.90828e-01     +1.11283e-01     +6.16523e-19     +4.88644e-21
   +1.40790e+03     +8.39225e-01     +1.10211e-01     +6.13946e-19     +5.13182e-21
   +1.40846e+03     +9.10226e-01     +1.08982e-01     +6.08545e-19     +5.43925e-21
   +1.40901e+03     +7.34242e-01     +1.10139e-01     +6.02096e-19     +5.76079e-21
   +1.40957e+03     +8.61241e-01     +1.15980e-01     +6.03590e-19     +5.67743e-21
   +1.41012e+03     +8.28125e-01     +1.22969e-01     +6.15591e-19     +5.12666e-21
   +1.41068e+03     +9.56378e-01     +1.25467e-01     +6.31781e-19     +4.59772e-21
   +1.41123e+03     +9.15976e-01     +1.26937e-01     +6.44678e-19     +4.43384e-21
   +1.41178e+03     +6.29610e-01     +1.25306e-01     +6.52189e-19     +4.54232e-21
   +1.41234e+03     +8.53218e-01     +1.19490e-01     +6.56893e-19     +4.78459e-21
   +1.41289e+03     +9.02264e-01     +1.14141e-01     +6.59109e-19     +4.91326e-21
   +1.41345e+03     +9.97215e-01     +1.12183e-01     +6.58551e-19     +4.70532e-21
   +1.41400e+03     +9.84359e-01     +1.09490e-01     +6.55371e-19     +4.22107e-21
   +1.41456e+03     +1.01960e+00     +1.09593e-01     +6.51932e-19     +3.92322e-21
   +1.41511e+03     +1.17679e+00     +1.11644e-01     +6.50455e-19     +3.96165e-21
   +1.41567e+03     +7.91887e-01     +1.12267e-01     +6.50547e-19     +4.22369e-21
   +1.41622e+03     +8.39212e-01     +1.12024e-01     +6.50961e-19     +4.60543e-21
   +1.41677e+03     +9.81475e-01     +1.13930e-01     +6.50597e-19     +4.95562e-21
   +1.41733e+03     +7.35690e-01     +1.19366e-01     +6.49382e-19     +5.07701e-21
   +1.41788e+03     +9.20950e-01     +1.20515e-01     +6.47866e-19     +4.94477e-21
   +1.41844e+03     +1.04221e+00     +1.19378e-01     +6.45063e-19     +4.62628e-21
   +1.41899e+03     +9.23553e-01     +1.20325e-01     +6.39784e-19     +4.28491e-21
   +1.41955e+03     +9.67931e-01     +1.19385e-01     +6.31619e-19     +4.11624e-21
   +1.42010e+03     +9.00964e-01     +1.15109e-01     +6.24152e-19     +4.32839e-21
   +1.42065e+03     +1.10677e+00     +1.13629e-01     +6.22681e-19     +4.50909e-21
   +1.42121e+03     +1.08824e+00     +1.15603e-01     +6.27250e-19     +4.38867e-21
   +1.42176e+03     +8.46651e-01     +1.21448e-01     +6.35243e-19     +4.15028e-21
   +1.42232e+03     +8.28687e-01     +1.22402e-01     +6.42346e-19     +4.07612e-21
   +1.42287e+03     +8.83297e-01     +1.21493e-01     +6.46077e-19     +4.10182e-21
   +1.42343e+03     +8.23443e-01     +1.22560e-01     +6.46949e-19     +4.13636e-21
   +1.42398e+03     +8.58789e-01     +1.24190e-01     +6.45716e-19     +4.18148e-21
   +1.42454e+03     +9.09801e-01     +1.18304e-01     +6.43898e-19     +4.19551e-21
   +1.42509e+03     +8.66766e-01     +1.17911e-01     +6.41681e-19     +4.14262e-21
   +1.42564e+03     +8.64003e-01     +1.18601e-01     +6.37957e-19     +4.24873e-21
   +1.42620e+03     +1.12000e+00     +1.16079e-01     +6.31412e-19     +4.80568e-21
   +1.42675e+03     +1.06467e+00     +1.15822e-01     +6.22548e-19     +5.92791e-21
   +1.42731e+03     +7.98483e-01     +1.18509e-01     +6.13057e-19     +7.37908e-21
   +1.42786e+03     +9.49381e-01     +1.16621e-01     +6.06189e-19     +8.49966e-21
   +1.42842e+03     +6.42152e-01     +1.16598e-01     +6.05228e-19     +8.50893e-21
   +1.42897e+03     +9.34142e-01     +1.14225e-01     +6.09444e-19     +7.41292e-21
   +1.42952e+03     +9.50326e-01     +1.08364e-01     +6.16188e-19     +5.75167e-21
   +1.43008e+03     +1.02297e+00     +1.05999e-01     +6.22331e-19     +4.47750e-21
   +1.43063e+03     +9.48965e-01     +1.05950e-01     +6.27351e-19     +4.07841e-21
   +1.43119e+03     +8.55401e-01     +1.07319e-01     +6.32355e-19     +4.37402e-21
   +1.43174e+03     +7.75233e-01     +1.07994e-01     +6.37255e-19     +4.87366e-21
   +1.43230e+03     +9.72545e-01     +1.08858e-01     +6.40949e-19     +5.21580e-21
   +1.43285e+03     +8.48918e-01     +1.11526e-01     +6.42325e-19     +5.15927e-21
   +1.43341e+03     +9.28996e-01     +1.12905e-01     +6.41665e-19     +4.84738e-21
   +1.43396e+03     +7.07182e-01     +1.10063e-01     +6.39281e-19     +4.49373e-21
   +1.43451e+03     +9.79317e-01     +1.09735e-01     +6.36374e-19     +4.33017e-21
   +1.43507e+03     +9.20797e-01     +1.07152e-01     +6.34487e-19     +4.38529e-21
   +1.43562e+03     +8.99301e-01     +1.04244e-01     +6.34223e-19     +4.52985e-21
   +1.43618e+03     +9.33149e-01     +1.03861e-01     +6.35246e-19     +4.55741e-21
   +1.43673e+03     +9.71874e-01     +1.03519e-01     +6.36388e-19     +4.43321e-21
   +1.43729e+03     +9.27027e-01     +1.03663e-01     +6.37089e-19     +4.21194e-21
   +1.43784e+03     +9.33888e-01     +1.04432e-01     +6.37312e-19     +4.03989e-21
   +1.43839e+03     +1.07379e+00     +1.04445e-01     +6.35958e-19     +3.91068e-21
   +1.43895e+03     +7.10699e-01     +1.04776e-01     +6.32084e-19     +3.80161e-21
   +1.43950e+03     +8.59008e-01     +1.06064e-01     +6.24766e-19     +3.80465e-21
   +1.44006e+03     +9.19144e-01     +1.05816e-01     +6.17092e-19     +4.05744e-21
   +1.44061e+03     +8.71738e-01     +1.05181e-01     +6.13767e-19     +4.37921e-21
   +1.44117e+03     +7.91355e-01     +1.05101e-01     +6.16330e-19     +4.52234e-21
   +1.44172e+03     +1.04299e+00     +1.03850e-01     +6.22581e-19     +4.55027e-21
   +1.44228e+03     +9.69501e-01     +1.03001e-01     +6.27920e-19     +4.62241e-21
   +1.44283e+03     +7.14250e-01     +1.02694e-01     +6.30640e-19     +4.70062e-21
   +1.44338e+03     +8.79618e-01     +1.02534e-01     +6.31670e-19     +4.71600e-21
   +1.44394e+03     +1.05292e+00     +1.02746e-01     +6.31665e-19     +4.61923e-21
   +1.44449e+03     +9.86309e-01     +1.02461e-01     +6.30708e-19     +4.46730e-21
   +1.44505e+03     +9.20862e-01     +1.03153e-01     +6.29075e-19     +4.37782e-21
   +1.44560e+03     +1.04928e+00     +1.03231e-01     +6.27399e-19     +4.38303e-21
   +1.44616e+03     +8.89921e-01     +1.03496e-01     +6.26167e-19     +4.42542e-21
   +1.44671e+03     +1.06841e+00     +1.03855e-01     +6.25446e-19     +4.46618e-21
   +1.44726e+03     +1.06727e+00     +1.03693e-01     +6.25198e-19     +4.47767e-21
   +1.44782e+03     +9.46073e-01     +1.03288e-01     +6.24930e-19     +4.47398e-21
   +1.44837e+03     +9.20871e-01     +1.02455e-01     +6.23951e-19     +4.49236e-21
   +1.44893e+03     +9.32544e-01     +1.02072e-01     +6.22317e-19     +4.50437e-21
   +1.44948e+03     +9.59904e-01     +1.01483e-01     +6.21264e-19     +4.53540e-21
   +1.45004e+03     +1.04150e+00     +1.01350e-01     +6.21871e-19     +4.60299e-21
   +1.45059e+03     +9.88584e-01     +1.01648e-01     +6.23388e-19     +4.66337e-21
   +1.45115e+03     +8.29528e-01     +1.02114e-01     +6.23977e-19     +4.63079e-21
   +1.45170e+03     +8.82749e-01     +1.01516e-01     +6.22299e-19     +4.53935e-21
   +1.45225e+03     +9.32719e-01     +1.01021e-01     +6.17193e-19     +4.52526e-21
   +1.45281e+03     +1.15466e+00     +1.01425e-01     +6.09894e-19     +4.73489e-21
   +1.45336e+03     +9.36184e-01     +1.01848e-01     +6.02029e-19     +5.14537e-21
   +1.45392e+03     +9.64881e-01     +1.02205e-01     +5.95743e-19     +5.50430e-21
   +1.45447e+03     +9.68833e-01     +1.02228e-01     +5.92631e-19     +5.57828e-21
   +1.45503e+03     +9.29996e-01     +1.02240e-01     +5.92221e-19     +5.39327e-21
   +1.45558e+03     +7.13130e-01     +1.01885e-01     +5.93854e-19     +4.98598e-21
   +1.45613e+03     +7.92035e-01     +1.01425e-01     +5.96466e-19     +4.43783e-21
   +1.45669e+03     +7.28893e-01     +1.01332e-01     +5.98745e-19     +3.92196e-21
   +1.45724e+03     +7.59381e-01     +1.01893e-01     +5.99650e-19     +3.61417e-21
   +1.45780e+03     +8.29546e-01     +1.01690e-01     +5.99159e-19     +3.56489e-21
   +1.45835e+03     +8.57256e-01     +1.01284e-01     +5.98106e-19     +3.65402e-21
   +1.45891e+03     +8.59871e-01     +1.01287e-01     +5.97491e-19     +3.66644e-21
   +1.45946e+03     +1.02002e+00     +1.00774e-01     +5.98090e-19     +3.51306e-21
   +1.46002e+03     +8.03335e-01     +1.00522e-01     +5.99678e-19     +3.48912e-21
   +1.46057e+03     +7.74072e-01     +1.00392e-01     +6.01539e-19     +3.73640e-21
   +1.46112e+03     +8.42303e-01     +1.00049e-01     +6.02710e-19     +4.01129e-21
   +1.46168e+03     +1.08164e+00     +1.00046e-01     +6.02147e-19     +4.11812e-21
   +1.46223e+03     +1.07304e+00     +1.00444e-01     +6.00582e-19     +4.16429e-21
   +1.46279e+03     +7.01626e-01     +1.00193e-01     +5.99992e-19     +4.18777e-21
   +1.46334e+03     +8.18949e-01     +1.00007e-01     +6.00769e-19     +4.12927e-21
   +1.46390e+03     +8.62144e-01     +1.00151e-01     +6.01311e-19     +3.92423e-21
   +1.46445e+03     +9.39694e-01     +1.00244e-01     +6.00670e-19     +3.61727e-21
   +1.46500e+03     +8.86842e-01     +9.93122e-02     +6.00229e-19     +3.40435e-21
   +1.46556e+03     +9.91030e-01     +9.87886e-02     +6.01886e-19     +3.57132e-21
   +1.46611e+03     +8.94870e-01     +9.85040e-02     +6.05603e-19     +3.93078e-21
   +1.46667e+03     +7.06641e-01     +9.81031e-02     +6.10205e-19     +3.92554e-21
   +1.46722e+03     +5.40880e-01     +9.81843e-02     +6.14350e-19     +3.71316e-21
   +1.46778e+03     +4.41108e-01     +9.80438e-02     +6.16860e-19     +3.76424e-21
   +1.46833e+03     +5.38226e-01     +9.80377e-02     +6.17367e-19     +3.90063e-21
   +1.46889e+03     +4.76355e-01     +9.79487e-02     +6.15485e-19     +3.88328e-21
   +1.46944e+03     +6.56180e-01     +9.79350e-02     +6.12444e-19     +4.17728e-21
   +1.46999e+03     +8.58344e-01     +9.81624e-02     +6.09230e-19     +4.48952e-21
   +1.47055e+03     +7.82407e-01     +9.77603e-02     +6.05866e-19     +4.18547e-21
   +1.47110e+03     +1.03903e+00     +9.88699e-02     +6.01270e-19     +3.53473e-21
   +1.47166e+03     +8.25891e-01     +9.85963e-02     +5.95837e-19     +3.50439e-21
   +1.47221e+03     +9.83233e-01     +9.85299e-02     +5.92669e-19     +3.96982e-21
   +1.47277e+03     +9.98362e-01     +9.86313e-02     +5.95184e-19     +4.23872e-21
   +1.47332e+03     +9.59502e-01     +9.87426e-02     +6.01638e-19     +4.44049e-21
   +1.47387e+03     +9.67574e-01     +9.89421e-02     +6.07726e-19     +4.72431e-21
   +1.47443e+03     +9.64255e-01     +9.88850e-02     +6.09907e-19     +4.90389e-21
   +1.47498e+03     +8.72900e-01     +9.84123e-02     +6.08109e-19     +4.84304e-21
   +1.47554e+03     +1.05817e+00     +9.84312e-02     +6.06029e-19     +4.68213e-21
   +1.47609e+03     +9.88627e-01     +9.86330e-02     +6.05615e-19     +4.46106e-21
   +1.47665e+03     +9.45542e-01     +9.78220e-02     +6.05854e-19     +4.17049e-21
   +1.47720e+03     +8.02481e-01     +9.79322e-02     +6.04711e-19     +3.86615e-21
   +1.47776e+03     +9.62877e-01     +9.81163e-02     +6.01716e-19     +3.68331e-21
   +1.47831e+03     +8.23622e-01     +9.74002e-02     +5.98454e-19     +3.71305e-21
   +1.47886e+03     +7.67258e-01     +9.73770e-02     +5.96801e-19     +4.01601e-21
   +1.47942e+03     +8.18606e-01     +9.73497e-02     +5.97762e-19     +4.48530e-21
   +1.47997e+03     +9.47565e-01     +9.74637e-02     +6.01737e-19     +4.91658e-21
   +1.48053e+03     +1.07546e+00     +9.86358e-02     +6.06476e-19     +5.22715e-21
   +1.48108e+03     +1.04865e+00     +1.04276e-01     +6.09797e-19     +5.40170e-21
   +1.48164e+03     +1.08612e+00     +1.17695e-01     +6.10635e-19     +5.42850e-21
   +1.48219e+03     +9.15710e-01     +1.25961e-01     +6.09170e-19     +5.25914e-21
   +1.48274e+03     +9.93480e-01     +1.35263e-01     +6.06452e-19     +4.90515e-21
   +1.48330e+03     +5.35301e-01     +1.37895e-01     +6.03993e-19     +4.50973e-21
   +1.48385e+03     +8.46271e-01     +1.31914e-01     +6.02940e-19     +4.24639e-21
   +1.48441e+03     +9.96914e-01     +1.23281e-01     +6.03126e-19     +4.17638e-21
   +1.48496e+03     +8.76575e-01     +1.15592e-01     +6.03780e-19     +4.25216e-21
   +1.48552e+03     +7.47146e-01     +1.05949e-01     +6.04130e-19     +4.32916e-21
   +1.48607e+03     +9.55115e-01     +1.03403e-01     +6.04170e-19     +4.35903e-21
   +1.48663e+03     +9.04203e-01     +1.01619e-01     +6.04257e-19     +4.38748e-21
   +1.48718e+03     +6.98798e-01     +9.87907e-02     +6.04394e-19     +4.43228e-21
   +1.48773e+03     +8.04022e-01     +9.84723e-02     +6.03956e-19     +4.42504e-21
   +1.48829e+03     +7.34337e-01     +1.00035e-01     +6.02147e-19     +4.28982e-21
   +1.48884e+03     +9.91235e-01     +1.12997e-01     +5.98293e-19     +4.00230e-21
   +1.48940e+03     +7.95920e-01     +1.29417e-01     +5.93697e-19     +3.72050e-21
   +1.48995e+03     +9.19547e-01     +1.47233e-01     +5.90991e-19     +3.57032e-21
   +1.49051e+03     +9.11991e-01     +1.55623e-01     +5.91692e-19     +3.54033e-21
   +1.49106e+03     +7.56082e-01     +1.59532e-01     +5.95047e-19     +3.61516e-21
   +1.49161e+03     +9.65959e-01     +1.40576e-01     +5.98075e-19     +3.70120e-21
   +1.49217e+03     +8.55507e-01     +1.25206e-01     +5.98564e-19     +3.66845e-21
   +1.49272e+03     +8.03005e-01     +1.23328e-01     +5.95783e-19     +3.58446e-21
   +1.49328e+03     +8.49284e-01     +1.19308e-01     +5.91445e-19     +3.75698e-21
   +1.49383e+03     +9.93696e-01     +1.17419e-01     +5.87891e-19     +4.03553e-21
   +1.49439e+03     +8.75118e-01     +1.19819e-01     +5.86243e-19     +4.08726e-21
   +1.49494e+03     +9.23293e-01     +1.24052e-01     +5.86814e-19     +3.80269e-21
   +1.49550e+03     +6.75759e-01     +1.22734e-01     +5.88592e-19     +3.43317e-21
   +1.49605e+03     +8.44206e-01     +1.22159e-01     +5.89988e-19     +3.27774e-21
   +1.49660e+03     +1.03342e+00     +1.20337e-01     +5.88766e-19     +3.25256e-21
   +1.49716e+03     +1.01093e+00     +1.20382e-01     +5.84639e-19     +3.23591e-21
   +1.49771e+03     +7.89312e-01     +1.20179e-01     +5.79104e-19     +3.61664e-21
   +1.49827e+03     +8.78364e-01     +1.19120e-01     +5.75178e-19     +4.32892e-21
   +1.49882e+03     +8.49397e-01     +1.18514e-01     +5.74371e-19     +4.80361e-21
   +1.49938e+03     +7.30354e-01     +1.18204e-01     +5.75084e-19     +4.89172e-21
   +1.49993e+03     +9.47261e-01     +1.18151e-01     +5.74561e-19     +4.71154e-21
   +1.50048e+03     +7.23924e-01     +1.14807e-01     +5.70580e-19     +4.36137e-21
   +1.50104e+03     +8.98410e-01     +1.14791e-01     +5.64532e-19     +4.00468e-21
   +1.50159e+03     +8.07095e-01     +1.18568e-01     +5.60805e-19     +3.78475e-21
   +1.50215e+03     +9.70387e-01     +1.23941e-01     +5.62438e-19     +3.70264e-21
   +1.50270e+03     +7.09787e-01     +1.22629e-01     +5.68992e-19     +3.67443e-21
   +1.50326e+03     +8.79608e-01     +1.20531e-01     +5.75862e-19     +3.69109e-21
   +1.50381e+03     +7.82454e-01     +1.20024e-01     +5.79780e-19     +3.78717e-21
   +1.50437e+03     +8.36518e-01     +1.10855e-01     +5.80608e-19     +3.94710e-21
   +1.50492e+03     +8.64538e-01     +1.02009e-01     +5.80761e-19     +4.00726e-21
   +1.50547e+03     +8.52657e-01     +1.05682e-01     +5.81720e-19     +3.80971e-21
   +1.50603e+03     +7.82295e-01     +1.07707e-01     +5.83516e-19     +3.63986e-21
   +1.50658e+03     +8.60436e-01     +1.09144e-01     +5.85464e-19     +3.85345e-21
   +1.50714e+03     +9.30628e-01     +1.13050e-01     +5.86693e-19     +4.28463e-21
   +1.50769e+03     +1.14434e+00     +1.23293e-01     +5.86803e-19     +4.55078e-21
   +1.50825e+03     +8.43160e-01     +1.23313e-01     +5.85782e-19     +4.52495e-21
   +1.50880e+03     +7.40037e-01     +1.22686e-01     +5.84333e-19     +4.41248e-21
   +1.50935e+03     +9.53059e-01     +1.21296e-01     +5.82601e-19     +4.27966e-21
   +1.50991e+03     +8.26467e-01     +1.14072e-01     +5.80144e-19     +4.13128e-21
   +1.51046e+03     +8.18546e-01     +1.01864e-01     +5.76343e-19     +4.41032e-21
   +1.51102e+03     +6.69972e-01     +9.93939e-02     +5.71502e-19     +5.84980e-21
   +1.51157e+03     +6.89176e-01     +1.00096e-01     +5.66962e-19     +7.76766e-21
   +1.51213e+03     +7.38702e-01     +1.03190e-01     +5.64220e-19     +8.85691e-21
   +1.51268e+03     +9.61375e-01     +1.05252e-01     +5.63670e-19     +8.77676e-21
   +1.51324e+03     +8.07151e-01     +1.06376e-01     +5.65526e-19     +7.57256e-21
   +1.51379e+03     +8.07307e-01     +1.11311e-01     +5.68910e-19     +5.93591e-21
   +1.51434e+03     +1.04640e+00     +1.16032e-01     +5.71873e-19     +4.82743e-21
   +1.51490e+03     +1.07034e+00     +1.13330e-01     +5.72523e-19     +4.47667e-21
