# 2025/08/31 23:14:35
#
# ---------------------------------------------------------------------------
#    CDFS017345 - stellar continuum SED - ficus.py
# ---------------------------------------------------------------------------
# 
### inputs ### 
# spec_name   --> CDFS017345
# z_spec      --> 3.6052
# ssp_models  --> sb99
# neb_mode    --> off
# Zarray      --> ['0001', '0002', '0008', '0014']
# att_law     --> r16
# wave_range  --> [1200. 1920.]
# wave_norm   --> [1350. 1370.]
# r_obs       --> 600.0
# nsim        --> 100
# plot_mode   --> yes
# 
# wave(A)        Flux.SED         Flux.SEDerr      Flux.SEDINT      Flux.SEDINTerr 
   +8.54302e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +8.80254e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.06995e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.34548e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.62938e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +9.92191e-04     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.02233e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.05339e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.08539e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.11836e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.15234e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.18734e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.22341e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.26058e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.29887e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.33833e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.37899e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.42088e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.46404e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.50852e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.55434e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.60156e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.65022e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.70035e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.75200e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.80522e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.86006e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.91657e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +1.97479e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.03478e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.09660e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.16029e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.22592e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.29354e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
   +2.36321e-03     +0.00000e+00     +0.00000e+00     +0.00000e+00     +0.00000e+00
