WAVE FLUX
1000.04 5.642758375007907e+38
1000.53 4.03756255731853e+38
1001.02 2.378248221799686e+38
1001.51 5.450729283695906e+38
1002.01 4.569759248714019e+38
1002.5 3.759075569022073e+38
1002.99 3.9680643837736e+38
1003.48 5.662214029012718e+38
1003.97 5.5069855070482504e+38
1004.46 5.644839043505284e+38
1004.96 5.5973202961365356e+38
1005.45 3.062442478546718e+38
1005.94 1.5033009381398873e+38
1006.43 5.3227119866232474e+38
1006.93 2.8444067556987394e+38
1007.42 5.4700219751844484e+38
1007.92 4.980782916812065e+38
1008.41 5.12230161355277e+38
1008.91 3.0300081722756333e+38
1009.4 5.481648028062591e+38
1009.9 1.1621452147390822e+38
1010.39 1.6621399708532848e+38
1010.89 5.526186787587226e+38
1011.38 5.197961301590546e+38
1011.88 5.439280521109968e+38
1012.37 1.6142448212970028e+38
1012.87 3.0164593187669346e+38
1013.37 5.389961884898033e+38
1013.86 5.357511409500913e+38
1014.36 5.3528055782932534e+38
1014.86 5.1276672098062205e+38
1015.36 5.3826750323361845e+38
1015.85 4.0097342989866285e+38
1016.35 3.513451411484396e+38
1016.85 5.373807968077767e+38
1017.35 3.351741859307123e+38
1017.85 4.779569054976261e+38
1018.35 1.1412157896868572e+38
1018.85 5.4124666709848314e+38
1019.35 4.217873377745674e+38
1019.85 1.4829696714971643e+38
1020.35 4.8079501252182296e+38
1020.85 5.225142527240188e+38
1021.35 4.643723608684185e+38
1021.85 5.233286572511154e+38
1022.35 5.516360954157426e+38
1022.85 1.967982381027942e+38
1023.35 5.510600764363493e+38
1023.85 5.319943944541384e+38
1024.35 5.255392383380183e+38
1024.86 4.78392315104961e+38
1025.36 2.043159822257478e+38
1025.86 1.8755600610087653e+37
1026.37 2.5400328150198427e+38
1026.87 2.051811560272887e+38
1027.37 3.931927617103209e+38
1027.88 4.2312096449281006e+38
1028.38 3.574971940850257e+38
1028.89 4.243963277481229e+38
1029.39 3.7799815986655735e+38
1029.9 1.6601565545678992e+38
1030.4 3.353332901546063e+38
1030.91 1.0894976588291631e+38
1031.41 2.9648558676562044e+38
1031.92 3.896658885763492e+38
1032.42 3.2898823594281705e+38
1032.93 4.6009672334552776e+38
1033.44 2.8980651562902044e+38
1033.94 1.5236541214120792e+38
1034.45 3.2859036170783166e+38
1034.96 3.5506970173683106e+38
1035.46 1.0846814224906304e+38
1035.97 2.6956305229880975e+38
1036.48 3.282306044236462e+38
1036.99 1.1850275929176867e+38
1037.5 2.2752376008173114e+38
1038.01 3.374701287773164e+38
1038.51 5.3260224149916416e+38
1039.02 4.689016270791303e+38
1039.53 3.697009048327649e+38
1040.04 3.993274692169615e+38
1040.55 3.913072320372313e+38
1041.06 5.349540326548599e+38
1041.57 4.65913350635095e+38
1042.08 5.239306107037773e+38
1042.59 5.009361982216653e+38
1043.11 5.342468549121746e+38
1043.62 5.265269247327937e+38
1044.13 5.297966129662642e+38
1044.64 5.044728177188275e+38
1045.15 4.722765208417956e+38
1045.67 5.046099947564041e+38
1046.18 4.766443020028574e+38
1046.69 5.192696227744874e+38
1047.2 5.200216628357089e+38
1047.72 5.2360151130973966e+38
1048.23 5.18536565783729e+38
1048.75 5.274712760658879e+38
1049.26 5.183788652854834e+38
1049.78 4.7478469723467704e+38
1050.29 5.093251702628613e+38
1050.81 4.5677733354097626e+38
1051.32 3.521137932790841e+38
1051.83 5.110711202675225e+38
1052.35 4.6340498885237264e+38
1052.87 4.536281933446283e+38
1053.38 5.0569467317274006e+38
1053.9 5.148108331404046e+38
1054.42 5.164008705831754e+38
1054.93 5.212130638151576e+38
1055.45 1.6824610730317237e+38
1055.97 4.661480081498965e+38
1056.49 5.10203047873025e+38
1057.01 5.0708676378194164e+38
1057.52 3.9745741462871056e+38
1058.04 5.130736790806251e+38
1058.56 3.194177598505043e+38
1059.08 3.74117633701504e+38
1059.6 5.004114744412456e+38
1060.12 3.266529094336584e+38
1060.64 4.683662102939122e+38
1061.16 1.4546390181587265e+38
1061.68 1.1096463568418313e+38
1062.2 3.958611891682782e+38
1062.72 9.31371559430372e+37
1063.24 2.4003317429067597e+38
1063.76 5.018686509109367e+38
1064.28 4.1972917448491636e+38
1064.81 4.989523645637239e+38
1065.33 5.032665894179505e+38
1065.85 1.9371688562272077e+38
1066.37 4.435944720554925e+38
1066.9 5.064843281276944e+38
1067.42 4.160591016362249e+38
1067.94 3.9085349239856075e+38
1068.47 4.4079214028653114e+38
1068.99 1.1365630755526789e+38
1069.52 3.1007927070595737e+38
1070.04 4.639823988913021e+38
1070.56 1.4168079200008465e+38
1071.09 4.8572470554611776e+38
1071.61 4.874151824551564e+38
1072.14 3.716284170868059e+38
1072.67 4.399857778501047e+38
1073.19 4.5294706668919535e+38
1073.72 3.456983285870961e+38
1074.24 4.140912151987649e+38
1074.77 4.6908949026951395e+38
1075.3 4.462162912392444e+38
1075.82 4.847905617399995e+38
1076.35 4.751643403182142e+38
1076.88 4.874426211076826e+38
1077.41 4.929843701378483e+38
1077.94 3.487409055391289e+38
1078.47 4.909671291221887e+38
1078.99 4.834606113017456e+38
1079.52 3.387979728285713e+38
1080.05 4.829479004503505e+38
1080.58 4.851989515186211e+38
1081.11 4.801527443415738e+38
1081.64 4.865068481242492e+38
1082.17 4.8533151228337624e+38
1082.7 4.680885510162302e+38
1083.23 1.8282598891641853e+38
1083.77 4.2909946576939134e+38
1084.3 4.514788791325814e+38
1084.83 2.6750819429523237e+38
1085.36 4.3687416596094115e+38
1085.89 4.3135596282339496e+38
1086.43 3.7644904938659584e+38
1086.96 4.598705060330605e+38
1087.49 4.642104921655068e+38
1088.02 2.3367088272728894e+38
1088.56 4.1880770999506506e+38
1089.09 1.4256226889294179e+38
1089.63 1.1240227667172549e+38
1090.16 3.3551636267671043e+38
1090.69 4.544571339889536e+38
1091.23 4.6902193137639255e+38
1091.77 4.024699082544291e+38
1092.3 4.3044995938677584e+38
1092.84 4.584614736421901e+38
1093.37 2.483832621479497e+38
1093.91 4.794156961493219e+38
1094.44 4.661669488665066e+38
1094.98 4.758735987932281e+38
1095.52 1.6090971026973818e+38
1096.06 3.746898394146232e+38
1096.59 1.0339319824166075e+38
1097.13 4.711086718090311e+38
1097.67 1.155159608667581e+38
1098.21 1.3877520160916311e+38
1098.74 4.674017547672436e+38
1099.28 4.689217370052033e+38
1099.82 4.139810051662148e+38
1100.36 4.713791586792625e+38
1100.9 4.741986956804746e+38
1101.44 3.6771418742340556e+38
1101.98 4.671219363065357e+38
1102.52 4.690187366418542e+38
1103.06 3.968899927541988e+38
1103.6 4.283019308196993e+38
1104.15 1.6708642481762904e+38
1104.69 4.22610935703758e+38
1105.23 4.6096779869195074e+38
1105.77 4.301208174834281e+38
1106.31 4.6094626051833514e+38
1106.85 4.196528216218907e+38
1107.4 4.040088672644642e+38
1107.94 3.377541890398787e+38
1108.48 7.249223092809757e+37
1109.03 4.152610401040371e+38
1109.57 4.351619774087159e+38
1110.11 3.881331305954296e+38
1110.66 4.495638087940115e+38
1111.2 3.7638395454372765e+38
1111.75 4.44766117032814e+38
1112.29 3.599245198835411e+38
1112.84 4.516811703530026e+38
1113.39 4.54498622101455e+38
1113.93 4.371517594510454e+38
1114.48 4.370114222951375e+38
1115.02 4.4009092336934366e+38
1115.57 4.443170092188529e+38
1116.12 4.083038462612923e+38
1116.67 2.5040563788951247e+38
1117.21 3.610468561874418e+38
1117.76 4.411781524541071e+38
1118.31 4.339147957903586e+38
1118.86 4.570196709296501e+38
1119.41 2.2739740780055224e+38
1119.95 4.566514301681146e+38
1120.5 4.5656774172918836e+38
1121.05 4.086727051067257e+38
1121.6 4.468131929077969e+38
1122.15 4.431353010668305e+38
1122.7 4.497867833580499e+38
1123.25 4.387195875643595e+38
1123.8 1.125972789190951e+38
1124.36 3.946558805787339e+38
1124.91 8.20804398134771e+37
1125.46 4.099672179114203e+38
1126.01 4.267164462701959e+38
1126.56 4.14619412394866e+38
1127.11 3.864558420028676e+38
1127.67 3.8513324298241754e+38
